loc_id,loc_label,id,wikidata_id,worldcat_id,viaf_id
http://id.loc.gov/authorities/names/no2013132680,Guilford College,NCG06347,,,http://viaf.org/viaf/sourceID/LC%7Cno2013132680#skos:Concept
http://id.loc.gov/authorities/names/n83023573,Wadesboro,NCG15763,http://www.wikidata.org/entity/Q2024135,http://id.worldcat.org/fast/1224112,http://viaf.org/viaf/sourceID/LC%7Cn++83023573#skos:Concept
http://id.loc.gov/authorities/names/n2008045808,Cricket,NCG03777,,http://id.worldcat.org/fast/1875975,http://viaf.org/viaf/sourceID/LC%7Cn+2008045808#skos:Concept
http://id.loc.gov/authorities/names/no2017118071,Leggett,NCG08635,,,http://viaf.org/viaf/sourceID/LC%7Cno2017118071#skos:Concept
http://id.loc.gov/authorities/names/n93004159,Scottville,NCG13530,http://www.wikidata.org/entity/Q7438204,http://id.worldcat.org/fast/1263929,http://viaf.org/viaf/sourceID/LC%7Cn++93004159#skos:Concept
http://id.loc.gov/authorities/names/no2014017648,Polkville,NCG12050,,,http://viaf.org/viaf/sourceID/LC%7Cno2014017648#skos:Concept
http://id.loc.gov/authorities/names/n82084045,Taylorsville,NCG15029,http://www.wikidata.org/entity/Q49280360,http://id.worldcat.org/fast/1220540,http://viaf.org/viaf/sourceID/LC%7Cn++82084045#skos:Concept
http://id.loc.gov/authorities/names/no92009376,Beaver Dam Township,NCG00908,,http://id.worldcat.org/fast/1261687,http://viaf.org/viaf/sourceID/LC%7Cno+92009376#skos:Concept
http://id.loc.gov/authorities/names/n82018426,Alexander County,NCG00129,http://www.wikidata.org/entity/Q491584,http://id.worldcat.org/fast/1218117,http://viaf.org/viaf/sourceID/LC%7Cn++82018426#skos:Concept
http://id.loc.gov/authorities/names/n84136626,West End,NCG16091,,http://id.worldcat.org/fast/1229590,http://viaf.org/viaf/sourceID/LC%7Cn++84136626#skos:Concept
http://id.loc.gov/authorities/names/n84136602,Red Oak,NCG12565,,http://id.worldcat.org/fast/1229670,http://viaf.org/viaf/sourceID/LC%7Cn++84136602#skos:Concept
http://id.loc.gov/authorities/names/n82076114,Shelby,NCG13724,http://www.wikidata.org/entity/Q2029222,http://id.worldcat.org/fast/1220230,http://viaf.org/viaf/sourceID/LC%7Cn++82076114#skos:Concept
http://id.loc.gov/authorities/names/n84055365,Canton,NCG02539,http://www.wikidata.org/entity/Q2029343,http://id.worldcat.org/fast/1229610,http://viaf.org/viaf/sourceID/LC%7Cn++84055365#skos:Concept
http://id.loc.gov/authorities/names/n88122086,Southern Pines,NCG14299,,http://id.worldcat.org/fast/1248037,http://viaf.org/viaf/sourceID/LC%7Cn++88122086#skos:Concept
http://id.loc.gov/authorities/names/n81018367,Wilson County,NCG16461,http://www.wikidata.org/entity/Q510900,http://id.worldcat.org/fast/1211840,http://viaf.org/viaf/sourceID/LC%7Cn++81018367#skos:Concept
http://id.loc.gov/authorities/names/no2017005588,Wilton,NCG16481,,,http://viaf.org/viaf/sourceID/LC%7Cno2017005588#skos:Concept
http://id.loc.gov/authorities/names/n83205128,Arlington,NCG00317,,http://id.worldcat.org/fast/1226232,http://viaf.org/viaf/sourceID/LC%7Cn++83205128#skos:Concept
http://id.loc.gov/authorities/names/n81022906,Rutherford County,NCG13231,http://www.wikidata.org/entity/Q508254,http://id.worldcat.org/fast/1212236,http://viaf.org/viaf/sourceID/LC%7Cn++81022906#skos:Concept
