film_name,wikidata_QID,IMDb_ID,IMDb_URL,IMDb_locations_URL,place,ncg_ID
Talladega Nights: The Ballad of Ricky Bobby,Q1421593,tt0415306,https://www.imdb.com/title/tt0415306,https://www.imdb.com/title/tt0415306/locations?ref_=tt_ql_sm,Charlotte|Rockingham|Concord,NCG02916|NCG12974|NCG03409
Tammy,Q15901539,tt2103254,https://www.imdb.com/title/tt2103254,https://www.imdb.com/title/tt2103254/locations?ref_=tt_ql_sm,Wilmington|Carolina Beach|White Lake|Castle Hayne|Leland|Boiling Spring Lakes|Shallotte|Burgaw,NCG16454|NCG02590|NCG16208|NCG02704|NCG08643|NCG13652|NCG02179
Tap Roots,Q3226892,tt0040861,https://www.imdb.com/title/tt0040861,https://www.imdb.com/title/tt0040861/locations?ref_=tt_ql_sm,Great Smoky Mountains,NCG06199
Teen Spirit,Q1571340,tt1845866,https://www.imdb.com/title/tt1845866,https://www.imdb.com/title/tt1845866/locations?ref_=tt_ql_sm,Wilmington,NCG16454
Teenage Mutant Ninja Turtles,Q58439,tt0100758,https://www.imdb.com/title/tt0100758,https://www.imdb.com/title/tt0100758/locations?ref_=tt_ql_sm,Castle Hayne|Wilmington,NCG02704|NCG16454
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Q1326619,tt0103060,https://www.imdb.com/title/tt0103060,https://www.imdb.com/title/tt0103060/locations?ref_=tt_ql_sm,Wilmington|Castle Hayne,NCG16454|NCG02704
Terror in the Night,Q93477915,tt0111401,https://www.imdb.com/title/tt0111401,https://www.imdb.com/title/tt0111401/locations?ref_=tt_ql_sm,Charlotte|Huntersville|Pineville|Albemarle|Nantahala National Forest|Pisgah National Forest,NCG02916|NCG07488|NCG11863|NCG00104|NCG10630|NCG11930
Thank You for Smoking,Q840872,tt0427944,https://www.imdb.com/title/tt0427944,https://www.imdb.com/title/tt0427944/locations?ref_=tt_ql_sm,Winston-Salem,NCG16525
The 24th,Q85806291,tt10452854,https://www.imdb.com/title/tt10452854,https://www.imdb.com/title/tt10452854/locations?ref_=tt_ql_sm,Salisbury|Charlotte,NCG13279|NCG02916
The 5th Quarter,Q10854398,tt1130964,https://www.imdb.com/title/tt1130964,https://www.imdb.com/title/tt1130964/locations?ref_=tt_ql_sm,Winston-Salem,NCG16525
The Adventures of Elmo in Grouchland,Q735716,tt0159421,https://www.imdb.com/title/tt0159421,https://www.imdb.com/title/tt0159421/locations?ref_=tt_ql_sm,Wilmington,NCG16454
